alt,a1_url,a1_text,a2_url,a2_text,filepath,description,category,embedding
lounge,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lounge.png,Download (In the Box),,,./images/lounge.png,This is a cartoon illustration of a lounge. A brown sofa is the main feature of the room.  A flat-screen television is positioned near a window with a view of a bright sun. A door is also visible in the scene. Above the image is the word lounge written in bold black letters.,cartoon illustration,"[ 0.05294004  0.00294719 -0.05711933 ... -0.04181375 -0.04072402
 -0.01207348]"
lounge furniture in good repair,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lounge-furniture-in-good-repair.png,Download (In the Box),,,./images/lounge-furniture-in-good-repair.png,"A cartoon drawing of a lounge room. The room has a dark brown sofa with green ticks on it, a TV with a green tick on it and a window. The drawing has a black border and the word 'lounge' is at the top of the picture.",illustration,"[ 0.02901969 -0.00031841 -0.05491465 ... -0.06239307 -0.0387706
 -0.02990931]"
low-sodium salt,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/low-sodium-salt.png,Download (In the Box),,,./images/low-sodium-salt.png,"The image is a square with a thick black border. Inside, against a white background, the words ""low-sodium salt"" are printed in large, bold, black lettering. Below the text is an illustration of a can of low-sodium salt. The can is white with a silver lid and base. The words ""LO SALT"" are printed on the can in red and blue, with a small red heart next to the ""LO"". A blue band wraps around the lower part of the can.",Food,"[ 0.01737936  0.00954123 -0.02647292 ... -0.01831356 -0.00525526
 -0.01044367]"
lump on testicle,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lump-on-testicle.png,Download (In the Box),,,./images/lump-on-testicle.png,"The image is a cartoon diagram of a male groin area, with a green arrow pointing to a lump on the right testicle. The text above the diagram reads ""lump on testicle"" in bold, black font. The illustration is bordered by a thick black frame.",Medical Illustration,"[ 0.01682377 -0.0181672  -0.03213489 ... -0.02164254 -0.00082657
 -0.01923662]"
lunch,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lunch.png,Download (In the Box),,,./images/lunch.png,"A simple cartoon-style drawing depicts a plate of lunch with the word 'lunch' written in bold, black letters above the image. On the plate, there is a triangular sandwich cut in half, with brown bread and green filling. Beside the sandwich, there is an orange and a green apple. Behind the plate, there is a tall glass of clear liquid, possibly water. The image is framed with a thick, black border.",food,"[ 0.02426491 -0.01682655 -0.00222205 ... -0.01730268 -0.02502982
 -0.01355556]"
Lunch sandwich and crisps,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/Lunch-sandwich-and-crisps.png,Download (In the Box),,,./images/Lunch-sandwich-and-crisps.png,"The image shows a simple picture of a dinner consisting of a sandwich cut in half and a bag of crisps, sitting on a plate. The word 'dinner' is written in bold, black letters above the food.",Food,"[ 0.03116131 -0.016896   -0.00619873 ... -0.00770376 -0.03906563
 -0.01469466]"
lung cancer,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lung-cancer.png,Download (In the Box),,,./images/lung-cancer.png,"A cartoon-style illustration shows a person with lung cancer. Above the person's head, in large, bold black letters, it says 'lung cancer.' The person is light-skinned, with black hair and a concerned expression. The person's internal organs, including the lungs, are visible. In the left lung is a yellow, bumpy mass indicating cancer. A dashed line extends from the mass to a large magnifying glass, revealing a closer view of the mass in the lung. The illustration is framed by a thick black border.",Medical Illustration,"[ 0.00308875  0.01159742 -0.01709873 ... -0.0475428  -0.04019646
 -0.02809435]"
lung cancer V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lung-cancer-V2.png,Download (In the Box),,,./images/lung-cancer-V2.png,"The image depicts a cartoon drawing with a black frame. At the top, in large black bold letters, it reads ""lung cancer."" Below the text, there is a female figure with light skin and brown hair. She has a concerned expression on her face. The figure is wearing a light brown outfit that reveals her chest and outlines her lungs, which are colored pink. On the right lung, there is a yellow, abstract shape indicating cancer. Adjacent to the figure is a large magnifying glass that focuses on a similar image of a lung with the yellow cancer shape. A dashed line connects the smaller lung image on the figure to the enlarged one in the magnifying glass. The magnifying glass has a light brown handle and a silver-colored connector to the lens.",Medical Illustration,"[ 0.00330836 -0.00755854 -0.02678687 ... -0.0310079  -0.04307001
 -0.02807125]"
lungs,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lungs.png,Download (In the Box),,,./images/lungs.png,"A cartoon drawing of a person's upper body with their lungs shown inside their chest. The word ""lungs"" is written in big bold letters above the person. The drawing is simple and uses basic colors and shapes.",Science,"[ 0.01783302  0.01295377 -0.02207658 ... -0.00837224 -0.02762042
 -0.02255823]"
lungs V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/lungs-V2.png,Download (In the Box),,,./images/lungs-V2.png,"A cartoon image shows a person with lungs drawn on their chest. The person has brown hair and skin. They are facing forward with their arms down and slightly out. The lungs are pink and located in the chest. The word ""lungs"" is written in large, bold, black letters above the person. The image is set against a white background with a black border. This cartoon is likely used for educational purposes.",Education,"[ 0.02894932 -0.00028401 -0.02191559 ... -0.01240014 -0.03844884
 -0.02460972]"
Lungs V3,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/lungs-V3.png,Download (In the Box),,,./images/lungs-V3.png,"An illustration with a light tan skinned person with black hair standing upright and facing the viewer. Inside the person's chest cavity are two pink lungs with the windpipe extending up towards the person's neck. Above the person is the word ""lungs"" in big, bold black letters. The illustration has a white background with a thick black border.",Anatomy,"[ 0.00156759  0.00130156 -0.01662676 ... -0.00957819 -0.03868439
 -0.04341112]"
Lungs V4,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/lungs-V4.png,Download (In the Box),,,./images/lungs-V4.png,"A cartoon-style image depicts a person with brown hair and a neutral expression. The word ""lungs"" is written in bold black letters above the person's head. A representation of the lungs and trachea are visible within the person's chest, outlined in black with pink shading to indicate the organ structure. The person is drawn with black outlines and tan skin. The image is framed by a thick black border.",Medical Illustration,"[ 0.02588998 -0.01751706 -0.02952938 ... -0.02064149 -0.02890315
 -0.03342753]"
Lying knee lift  towards chest exercise,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/Lying-knee-lift-towards-chest-exercise.png,Download (In the Box),,,./images/Lying-knee-lift-towards-chest-exercise.png,The image shows a step-by-step guide for a lying knee lift exercise. Step 1 depicts a person lying on their back with knees bent. Step 2 shows the same person pulling their knees towards their chest.  A green dotted arrow indicates the upward movement of the lower legs.,Health and Fitness,"[ 0.03621591  0.00348722 -0.0357365  ... -0.0305627   0.02866145
 -0.01240442]"
Lying knee lift  towards chest exercise V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/Lying-knee-lift-towards-chest-exercise-V2.png,Download (In the Box),,,./images/Lying-knee-lift-towards-chest-exercise-V2.png,"This picture shows the steps to do a lying knee lift towards the chest exercise. First, you lie on your back with your legs straight and arms by your sides. Then, you bend one knee and bring it towards your chest, holding it with your hands. A green arrow in each step shows how to move your leg.",exercise,"[ 0.03204392 -0.01201145 -0.02253724 ... -0.02579636  0.0150701
 -0.01655611]"
Lying knee raise exercise,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/Lying-knee-raise-exercise.png,Download (In the Box),,,./images/Lying-knee-raise-exercise.png,"A diagram showing the steps for a lying knee raise exercise. Above two boxes showing the steps is the text ""Lying knee raise exercise"". The first box shows ""Step 1"", with an illustration of a person lying on their back on a mat, with their arms by their sides and legs straight. The second box shows ""Step 2"", with an illustration of the same person lying on their back, but with one knee bent and raised towards their chest. A curved green arrow indicates the direction of movement.",Exercise,"[ 0.04013633 -0.00075745 -0.04368191 ... -0.03124578  0.03283029
 -0.01015311]"
Lying single knee lift towards stomach exercise,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/Lying-single-knee-lift-towards-stomach-exercise.png,Download (In the Box),,,./images/Lying-single-knee-lift-towards-stomach-exercise.png,"This image shows how to do a 'lying single knee lift towards stomach exercise'. The image is divided into two sections: Step 1 and Step 2. In Step 1, a person is lying on their back with their legs straight and arms by their sides. A green dotted arrow points down to their leg. In Step 2, the person has bent one leg, bringing their knee up towards their chest. A green dotted arrow shows the direction of the knee movement.",Exercise,"[ 0.02585458 -0.00106883 -0.02273266 ... -0.02253639  0.00880144
 -0.01616316]"
mackerel,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/mackerel.png,Download (In the Box),,,./images/mackerel.png,"Three mackerel fish are depicted in a simple, cartoon-like style. The fish are silver with dark green and black stripes along their backs. The word ""mackerel"" is written in bold, black letters above the fish. The image is bordered by a thick, black line, set against a white background.",Illustration,"[ 0.00840749 -0.0191871  -0.03256797 ... -0.01649823 -0.01498024
 -0.02972926]"
main meal,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/main-meal.png,Download (In the Box),,,./images/main-meal.png,"A cartoon image depicts a ""main meal"" on a white background enclosed within a black border. The words ""main meal"" are prominently displayed in large, bold, black letters at the top of the image. Below the text is a plate containing a sunny-side-up egg, a pile of fries, and two sausages. A gray fork is positioned to the left of the plate, and a gray knife is positioned to the right.",food,"[ 0.05465547 -0.01540028 -0.00630759 ...  0.01207635 -0.04530207
 -0.01291835]"
main meal healthy,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/main-meal-healthy.png,Download (In the Box),,,./images/main-meal-healthy.png,"The image shows a colourful cartoon of a main meal. At the top, in bold black letters, are the words 'main meal'. Below this, on a tan plate with a thick black outline, sits a portion of orange salmon with a silver serving fork in it, yellow chopped potatoes, and two green broccoli florets. To the left of the plate is a silver fork, and to the right is a silver knife. The image is bordered by a thick black line, suggesting it's a visual aid for understanding that it is a 'main meal healthy'.",Food and Nutrition,"[ 0.03859588 -0.00318609 -0.01622246 ... -0.01810304 -0.03294078
 -0.02670743]"
main office,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/main-office.png,Download (In the Box),,,./images/main-office.png,"The image shows a cartoon-style illustration of a man sitting behind a desk in an office setting. Above him, the words 'main office' are written in large, bold, black font. The illustration is contained within a black border, giving it a framed effect. The man has dark hair and skin, and he is wearing a grey suit, a blue shirt, and a pink tie. He has a simple, smiling face. The desk is brown and has a traditional rotary telephone on the left side, a computer monitor, a keyboard, and a mouse. The background is plain white, making the colors of the office scene stand out.",Office Environment,"[ 0.01647903 -0.01356548 -0.02698643 ... -0.01386489 -0.03685588
 -0.03969905]"
main office V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/main-office-V2.png,Download (In the Box),,,./images/main-office-V2.png,"A cartoon style image depicting a main office scene. The image is enclosed within a thick black square frame. At the top, the bold black text ""main office"" is prominently displayed. Below the text is a cartoon woman sitting behind a brown office desk. She has fair skin, brown hair and is wearing a yellow shirt. On the desk, there is a black rotary phone to her left, and a computer with a gray tower and white keyboard and mouse to her right. The background is plain white.",office,"[ 0.02274837 -0.00330213 -0.04231361 ...  0.00384592 -0.0408606
 -0.01910849]"
making a fist,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/07/making-a-fist.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/07/making-a-fist1.png,Download (Outside the Box),./images/making-a-fist.png,"A cartoon drawing shows an arm making a fist. The arm is brown and has a short blue sleeve rolled up. The background is white, and the text ""making a fist"" is written in large black letters at the top. A black border surrounds the image.",Medical/Health,"[ 0.03717487  0.02060891 -0.02241499 ... -0.0103872  -0.03421994
 -0.00156141]"
making bunting,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/making-bunting.png,Download (In the Box),,,./images/making-bunting.png,"A colorful and simple image shows how to make bunting, a string of triangular flags used for decoration. At the top, the words 'making bunting' are written in bold black letters. Below that, there is a string of triangle-shaped flags in various colors like red, orange, blue, green, and purple.  Underneath, the image depicts the steps to create the bunting, showing a hand sewing a red flag, a pair of scissors cutting a green flag, and a small jar with two paintbrushes in it, suggesting the flags can be painted. The image is enclosed in a black border.",Instructional/Educational,"[ 0.03354253  0.00395167 -0.01945829 ... -0.01058926  0.0246109
 -0.01483463]"
making the most of my time,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/making-the-most-of-my-time.png,Download (In the Box),,,./images/making-the-most-of-my-time.png,"This picture shows a clock with different activities around it. These include reading, painting, walking, swimming and sewing. The words 'making the most of my time' are at the top of the image.",Life Skills,"[ 0.04370068 -0.00014529 -0.02087058 ... -0.02659983 -0.00458592
  0.00113972]"
male bathroom,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/male-bathroom.png,Download (In the Box),,,./images/male-bathroom.png,"This is a cartoon image of a male bathroom. The words ""male bathroom"" are written in large black letters at the top. Inside the bathroom, there is a white bathtub filled with blue water. An orange rug is on the gray floor in front of the tub. On the right wall, a blue towel hangs on a wooden rack. A door is visible on the left side of the room. A man with dark skin, a bald head, and a beard is standing in the bathroom wearing a green shirt and brown pants. The walls are a light yellow color.",Bathroom,"[ 0.03553185  0.00611101 -0.02511668 ... -0.02831326 -0.03261635
  0.00247262]"
male body map,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map.png,Download (Outside the Box),,,./images/male-body-map.png,"A cartoon image shows the front and back of a light brown skinned male body. The figure has brown hair and is looking forward with wide eyes. His arms are straight down at his sides. The cartoon shows the male anatomy in detail on the front, and the back shows details like the spine and buttocks. ",Health,"[ 0.02840454 -0.01104084 -0.0241638  ... -0.00589579 -0.03052679
 -0.02406182]"
male body map blank,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank.png,Download (Outside the Box),,,./images/male-body-map-blank.png,"This is a blank body map of a person, showing the front and back views. The figure is a simple outline drawing of a human body with no clothing. It's designed for marking areas of interest, such as pain points or skin conditions.",Medical Illustration,"[ 0.01484697 -0.02487607 -0.03423791 ... -0.0072869  -0.01341334
 -0.03710121]"
male body map blank clothed,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank-clothed.png,Download (Outside the Box),,,./images/male-body-map-blank-clothed.png,This is a body map of a person from the front and back. The person has a brown skin tone and is wearing a grey t-shirt and orange trousers. The body map is blank and simple in design.,Illustration,"[ 0.04077001 -0.01062207 -0.04373433 ... -0.01634535 -0.03521039
 -0.04301677]"
male body map blank darker skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank-darker-skintone.png,Download (Outside the Box),,,./images/male-body-map-blank-darker-skintone.png,"A blank male body map with a darker skin tone, shown from both the front and back, for educational or informational purposes.",Education,"[ 0.02533694 -0.00930418 -0.02765142 ... -0.00517138 -0.00850949
 -0.01638472]"
male body map blank lighter skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank-lighter-skintone.png,Download (Outside the Box),,,./images/male-body-map-blank-lighter-skintone.png,"A cartoon illustration features two nude figures with a light skin tone, presented in both front and back views. The figures are simply outlined with no facial features, showcasing a human body map for anatomical or illustrative purposes.",Medical Illustration,"[-0.00155088 -0.00310774 -0.04013051 ... -0.00753224 -0.02482235
 -0.05181243]"
male body map blank skintone V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank-skintone-V2.png,Download (Outside the Box),,,./images/male-body-map-blank-skintone-V2.png,"The image shows a blank body map template of a male figure, viewed from the front and back. The figure is illustrated as a brown-skinned person without clothing or identifying features on the head. It serves as a diagram for marking areas of pain, injury, or other relevant physical conditions.",Medical Illustration,"[ 0.03694793 -0.03762828 -0.03260301 ... -0.00375806 -0.02213725
 -0.03878835]"
male body map blank V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-blank-V2.png,Download (Outside the Box),,,./images/male-body-map-blank-V2.png,"A blank illustration of a male human body, shown from the front and back. The figure is wearing orange shorts and has brown skin and no facial features. It is intended to be used as a body map.",Anatomy,"[ 0.03277411 -0.01080602 -0.0336026  ... -0.00374996 -0.03764581
 -0.02984699]"
male body map clothed,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-clothed.png,Download (Outside the Box),,,./images/male-body-map-clothed.png,"A cartoon of a brown skinned man with black hair. He is wearing orange shorts and has no shirt. He is shown from the front and from the back. The image could be used as a body map, to show different parts of the body.",Diagram,"[ 0.02554104 -0.00677829 -0.02650652 ... -0.01360302 -0.05681393
 -0.03970364]"
male body map clothed darker skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-clothed-darker-skintone.png,Download (Outside the Box),,,./images/male-body-map-clothed-darker-skintone.png,"This image is a body map of a male, with both the front and back views depicted. The man has dark brown skin and short, black hair. He is wearing orange shorts. He has a blank expression on his face, and his arms are hanging down at his sides. The back view shows the spine, some back muscles and the back of the hair. The body map is designed in a cartoon style with bold black outlines.",Medical Illustration,"[ 0.03253601 -0.01329558 -0.03574629 ... -0.00968218 -0.03002187
 -0.03431677]"
male body map clothed lighter skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-clothed-lighter-skintone.png,Download (Outside the Box),,,./images/male-body-map-clothed-lighter-skintone.png,"This is a drawing of a male body map, showing both the front and back view of a person. The person is light-skinned, has short black hair and is wearing bright orange boxer shorts. The person is barefoot. The map is designed to show the anatomy of the human body.",Anatomy Illustration,"[ 0.02723835 -0.01320163 -0.039279   ... -0.0091811  -0.03349194
 -0.02277539]"
male body map darker skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-darker-skintone.png,Download (Outside the Box),,,./images/male-body-map-darker-skintone.png,"This is a color cartoon illustration of a naked male figure, darker skin tone, depicted from both the front and back. The figure has short, dark hair and wide eyes. Details like nipples, the navel, and some muscle definition are included on the front view. The male reproductive organs are also visible. The back view displays the spine and buttocks. The figure's arms are positioned at the sides with hands open, and feet are slightly apart.",Anatomy,"[ 0.01540908 -0.01323002 -0.02304419 ... -0.00881944 -0.03467744
 -0.03166156]"
male body map fuller figure darker skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-darker-skintone.png,Download (Outside the Box),,,./images/male-body-map-darker-skintone.png,"This image shows a drawing of a male body, presented from both the front and back views. The figure has a darker skin tone, short black hair, and is depicted without any clothing. The drawing outlines the basic anatomy with simple lines, including facial features, nipples, navel, genitals, buttocks, and basic muscle definition. The image appears to be a medical illustration intended for educational purposes.",Medical Illustration,"[ 0.01022582 -0.02923478 -0.01326678 ... -0.00045703 -0.03230648
 -0.02495162]"
male body map fuller figure ligh skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-fuller-figure-ligh-skintone.png,Download (Outside the Box),,,./images/male-body-map-fuller-figure-ligh-skintone.png,"The image shows a diagram of a male human body from both the front and the back. The figure is light-skinned and has a fuller figure. In the front view, we can see his face with brown hair, chest, stomach, and genitals. In the back view, we see his back, buttocks, and legs. Some lines on the body indicate anatomical landmarks or features.",Medical Illustration,"[ 0.02457011 -0.03786235 -0.02848156 ... -0.0056719  -0.02845
 -0.0340475 ]"
male body map fully clothed,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-fully-clothed.png,Download (Outside the Box),,,./images/male-body-map-fully-clothed.png,"A color cartoon image shows a male body map with a front and back view. The man is wearing a gray t-shirt and orange pants, and is barefoot. The lines are clear and the colors are flat.",anatomy illustration,"[ 0.02177923  0.00562126 -0.02381171 ... -0.0119864  -0.03128613
 -0.02298158]"
male body map fully clothed darker skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-fully-clothed-darker-skintone.png,Download (Outside the Box),,,./images/male-body-map-fully-clothed-darker-skintone.png,"This image shows a body map of a male character. The character has a darker skin tone. He is fully clothed, wearing a gray tank top and orange pants. The character is shown from both the front and back to provide a comprehensive view of the body. The person has short, black hair and dark brown eyes.",Illustration,"[ 0.02706235 -0.00896077 -0.02355237 ... -0.01551937 -0.03864638
 -0.04064745]"
male body map fully clothed lighter skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-fully-clothed-lighter-skintone.png,Download (Outside the Box),,,./images/male-body-map-fully-clothed-lighter-skintone.png,This is a cartoon-style body map of a man. The image shows the front and back views of a man with a light skin tone. He has black hair and is wearing a gray tank top and orange pants. He is barefoot and standing with his arms out to the sides.,Medical Illustration,"[ 0.02227439 -0.00819923 -0.03155504 ... -0.02229789 -0.0298141
 -0.02967449]"
male body map light skintone,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-light-skintone.png,Download (Outside the Box),,,./images/male-body-map-light-skintone.png,"This image shows a cartoon-style drawing of a nude man from both the front and the back. The man has light skin, short brown hair, and a simple facial expression. The front view shows his full torso, including pubic hair. The back view shows his back, buttocks, and legs. He is standing with his arms slightly outstretched on both views.",Anatomy,"[ 0.01270593 -0.01724056 -0.0254785  ... -0.01127534 -0.02186531
 -0.03424923]"
male body map V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-V2.png,Download (Outside the Box),,,./images/male-body-map-V2.png,This is a front and back view of a male body. The person is drawn in a cartoon style with brown skin and hair. The drawing shows the person without clothes.,Anatomy,"[ 0.03512291 -0.01659948 -0.02156578 ...  0.00381591 -0.03204341
 -0.01691239]"
male body map with arrows,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/male-body-map-with-arrows.png,Download (Outside the Box),,,./images/male-body-map-with-arrows.png,"This is a drawing of a person from both the front and back. They are drawn with tan skin, black outlines, and brown hair. There are green arrows coming off the body that may be labeling parts. In the front view the top arrow starts at the hair, and the others point to: the neck, chest, bicep, waist, and thigh. In the back view, the top arrow starts at the hair, and the others point to: the shoulder, back, the space between the legs, waist, and wrist.",Diagram,"[ 0.02217924 -0.02229198 -0.03482521 ... -0.00908627 -0.01889271
 -0.04591219]"
male toilet,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/male-toilet.png,Download (In the Box),,,./images/male-toilet.png,"The image shows a cartoon-style sign for a male toilet. At the top, in bold black text, it reads 'male toilet'. Below, there is a cartoon drawing of a man with a brown skin tone, wearing a yellow long-sleeved shirt and blue pants. A green arrow points from the man towards a cartoon toilet and a roll of toilet paper.",Signage,"[ 0.02636919  0.00447886 -0.03559815 ... -0.01362361 -0.04500384
 -0.02574274]"
man,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/man.png,Download (In the Box),,,./images/man.png,"A cartoon drawing of a man in a black-bordered square. The man is wearing a yellow shirt, blue pants, and black shoes. Above the man, the word ""man"" is written in large, bold, black letters.",illustration,"[ 0.01760323  0.00930244 -0.0167298  ... -0.02407324 -0.0333326
 -0.00167709]"
man or woman,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/man-or-woman.png,Download (In the Box),,,./images/man-or-woman.png,"A colorful image depicting a choice between ""man"" and ""woman."" Above the images are the words ""man or woman"" in large, bold letters. On the left is a cartoon man wearing a yellow shirt, blue pants with a belt, and black shoes. His skin tone is tan and he has short black hair. Between the man and a cartoon woman on the right is the word ""or"" in large, bold letters. The woman wears a blue long-sleeved shirt, a purple skirt, and black shoes. Her skin tone is tan and she has brown hair. The image has a white background with a thick black border.",Gender Identity,"[ 0.02232223 -0.00730004 -0.03385821 ... -0.01730622 -0.02965803
 -0.0270919 ]"
man or woman V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/man-or-woman-V2.png,Download (In the Box),,,./images/man-or-woman-V2.png,"A cartoon image with a thick black border. At the top, in large black letters, it says ""man or woman."" Below this text, two cartoon figures are depicted side by side, separated by the word ""or"" in large black font. To the left is a dark-skinned person with a beard, wearing a green shirt and brown pants. Above their head is a black question mark. To the right is a light-skinned person with brown hair and bangs, wearing a blue shirt and a red skirt. Above their head is also a black question mark.",clipart,"[ 0.02417929 -0.01499542 -0.03336305 ... -0.02445677 -0.0197805
 -0.02650938]"
manager,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/manager.png,Download (In the Box),,,./images/manager.png,"The image shows a cartoon manager sitting at a desk. The desk has a retro-style black rotary telephone, a computer, a mouse, and a keyboard. The manager is wearing a grey suit with a blue shirt and a purple tie. The word 'manager' is written in large, bold, black letters at the top of the image. The image is in a black square border.",Occupations,"[ 0.01894144 -0.00560319 -0.02974455 ... -0.00515512 -0.02551514
 -0.02620857]"
manager instruction,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/manager-instruction.png,Download (In the Box),,,./images/manager-instruction.png,"A cartoon-style illustration depicts a manager giving instructions to an employee. The scene is set in an office with a brown desk, a computer, and an old-fashioned telephone. The manager, a woman with light skin and brown hair, sits behind the desk, her hands clasped in front of her. Green dashed lines emanate from her mouth, suggesting she is speaking. The employee, a man with tan skin and black hair, sits on a wooden chair facing the desk. He is wearing a yellow shirt and blue pants and appears to be listening. Above them, in bold, black letters, are the words ""manager instruction"". The entire image is bordered by a thick black line.",business,"[ 0.02150911  0.00236312 -0.04010475 ... -0.01067716 -0.02914749
 -0.04661705]"
manager V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/manager-V2.png,Download (In the Box),,,./images/manager-V2.png,"A cartoon-style illustration within a black-bordered white square. The image shows a female manager sitting at her desk. The word 'manager' is written in large, bold, black letters at the top of the image. The manager is depicted as a cartoon figure with light brown hair and skin, wearing a yellow top. She is seated behind a brown desk, upon which there is a black rotary telephone, a computer monitor and a keyboard. The style is simple and intended to be easily understood.",Illustration,"[ 0.01944269 -0.00147572 -0.03970575 ... -0.00422064 -0.03725685
 -0.02534651]"
managers office,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/managers-office.png,Download (In the Box),,,./images/managers-office.png,"This cartoon image shows a manager in their office. At the top, in bold black letters, are the words 'managers office'. Below the text is a cartoon drawing of a manager with brown skin, a gray suit, and a blue shirt with a purple tie. He's sitting behind a brown desk with a black rotary phone, a computer monitor, a keyboard, and a mouse on top. The image has a thick black border.",Office Setting,"[ 0.02237819 -0.01012711 -0.03423337 ... -0.00827585 -0.02428518
 -0.02144069]"
managers office V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/managers-office-V2.png,Download (In the Box),,,./images/managers-office-V2.png,"A simple illustration shows a manager's office. The image features a cartoon-style person with brown skin, dark hair, and wearing a blue shirt. They are sitting behind a wooden desk. On the desk are a black rotary telephone, a computer monitor, a keyboard, and a mouse. Above the desk, in bold black letters, the words ""managers office"" are displayed. The entire image is enclosed in a thick black border, set against a white background.",Occupations,"[ 0.02861601 -0.00340681 -0.03846203 ... -0.01133102 -0.03086008
 -0.04122763]"
map,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/10/map.png,Download (In the Box),,,./images/map.png,"An illustration of a folded map against a white background, framed within a black border. The word 'map' is written in large, bold, black letters above the image of the map. The map itself is depicted in shades of tan with a grid pattern of dashed lines, suggesting terrain. There are blue areas resembling a body of water, green shapes which could represent forests or mountains, and thin yellow lines possibly indicating roads or paths. The map is opened at its center, with each side angled outward.",Illustration,"[ 0.03608733  0.00643714 -0.03177364 ... -0.02629654 -0.00077593
 -0.03375841]"
